scorer,,,Szymon,Szymon,Szymon,Szymon,Szymon,Szymon,Szymon,Szymon,Szymon,Szymon,Szymon,Szymon,Szymon,Szymon
bodyparts,,,nose,nose,forehead,forehead,left_front_leg,left_front_leg,right_front_leg,right_front_leg,left_rear_leg,left_rear_leg,right_rear_leg,right_rear_leg,tailbase,tailbase
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,Adult_doberman,img001.png,637.0396327810122,198.98051948051955,692.5703090013436,132.70197044334975,862.7449619346172,634.269368562472,710.4834303627408,584.1126287505598,991.7194357366772,566.1995073891626,943.3540080609047,609.190998656516,955.8931930138828,233.01545006717424
labeled-data,Adult_doberman,img012.png,619.126511419615,254.51119570085086,674.6571876399464,200.77183161665926,746.3096730855352,650.3911777877295,742.7270488132558,587.6952530228393,1015.0064935064937,544.7037617554859,868.1188983430364,625.3128078817734,925.4408866995076,258.0938199731303
labeled-data,Adult_doberman,img013.png,624.5004478280341,258.0938199731303,667.4919390953875,190.0239587998209,778.5532915360503,641.4346171070309,724.8139274518586,598.4431258396776,980.9715629198389,567.9908195253023,907.5277653381103,619.9388714733543,936.1887595163458,265.25906851768923
labeled-data,Adult_doberman,img029.png,592.2568293775191,274.2156291983879,651.37012987013,218.68495297805646,828.7100313479624,598.4431258396776,626.2917599641738,639.6433049708912,871.7015226153159,609.190998656516,1000.6759964173758,533.9558889386476,920.0669502910883,259.8851321092701
labeled-data,Adult_doberman,img038.png,611.9612628750561,267.05038065382894,658.5353784146889,211.5197044334975,764.2227944469325,632.4780564263323,663.909314823108,596.6518137035379,955.8931930138828,560.8255709807434,893.1972682489926,598.4431258396776,927.2321988356474,276.0069413345276
labeled-data,Adult_doberman,img041.png,622.7091356918944,243.7633228840126,671.0745633676669,198.98051948051955,844.8318405732199,584.1126287505598,622.7091356918944,628.8954321540529,1018.5891177787731,533.9558889386476,886.0320197044335,594.8605015673982,941.5626959247651,268.84169278996865
labeled-data,Adult_doberman,img045.png,638.8309449171519,222.26757725033588,699.7355575459025,184.65002239140176,685.4050604567847,589.4865651589789,801.8403493058667,603.8170622480968,1018.5891177787731,587.6952530228393,884.2407075682939,564.4081952530229,959.4758172861622,267.05038065382894
labeled-data,Adult_doberman,img052.png,603.0047021943575,238.38938647559337,653.1614420062697,195.39789520824002,832.292655620242,598.4431258396776,610.1699507389163,587.6952530228393,993.510747872817,573.3647559337214,925.4408866995076,562.6168831168832,941.5626959247651,267.05038065382894
labeled-data,Adult_doberman,img063.png,511.64778325123166,259.8851321092701,576.1350201522616,209.7283922973578,681.8224361845052,623.5214957456337,628.0830721003136,585.9039408866995,943.3540080609047,566.1995073891626,891.4059561128528,594.8605015673982,902.153828929691,270.63300492610836
labeled-data,Adult_doberman,img077.png,409.54299149126746,234.80676220331395,484.7781012091358,202.56314375279896,662.1180026869683,628.8954321540529,493.73466188983446,576.947380206001,850.2057769816391,569.782131661442,900.3625167935514,594.8605015673982,873.4928347514555,290.3374384236454
labeled-data,Adult_doberman,img078.png,416.7082400358264,222.26757725033588,484.7781012091358,193.6065830721003,714.0660546350202,609.190998656516,443.57792207792215,587.6952530228393,812.5882221227049,596.6518137035379,941.5626959247651,582.3213166144201,877.0754590237351,281.3808777429467
labeled-data,Adult_doberman,img079.png,416.7082400358264,224.05888938647558,484.7781012091358,188.23264666368118,735.561800268697,607.3996865203762,418.4995521719661,614.5649350649351,773.1793551276311,602.025750111957,982.7628750559787,576.947380206001,875.2841468875953,284.96350201522614
labeled-data,Adult_doberman,img084.png,398.7951186744291,241.9720107478728,475.82154052843714,218.68495297805646,468.6562919838783,602.025750111957,662.1180026869683,623.5214957456337,988.1368114643977,614.5649350649351,837.6665920286611,585.9039408866995,877.0754590237351,301.08531124048363
labeled-data,Adult_doberman,img092.png,311.0208240035828,268.84169278996865,389.83855799373055,225.8502015226153,631.6656963725931,621.730183609494,318.1860725481416,607.3996865203762,943.3540080609047,612.7736229287954,681.8224361845052,614.5649350649351,801.8403493058667,322.58105687416037
labeled-data,Adult_doberman,img094.png,294.8990147783252,286.75481415136585,359.38625167935527,229.4328257948947,552.8479623824453,612.7736229287954,336.0991939095388,646.8085535154501,671.0745633676669,652.1824899238693,903.9451410658309,580.5300044782804,780.34460367219,335.1202418271384
labeled-data,Adult_doberman,img097.png,264.4467084639499,299.2939991043439,327.1426332288403,250.92857142857144,332.5165696372594,621.730183609494,490.1520376175549,646.8085535154501,807.2142857142859,632.4780564263323,728.396551724138,612.7736229287954,753.4749216300942,344.076802507837
labeled-data,Adult_doberman,img100.png,244.74227496641296,288.54612628750556,302.06426332288413,245.55463502015232,250.11621137483215,641.4346171070309,560.0132109270041,605.6083743842364,864.536274070757,596.6518137035379,572.5523958799822,628.8954321540529,737.3531124048367,318.9984326018809
labeled-data,Adult_doberman,img108.png,377.29937304075247,338.70286609941786,400.5864308105688,274.2156291983879,502.691222570533,575.1560680698612,368.3428123600538,632.4780564263323,640.6222570532916,628.8954321540529,812.5882221227049,609.190998656516,749.8922973578148,329.7463054187192
labeled-data,Adult_doberman,img112.png,,,,,,,,,,,,,,
labeled-data,Adult_doberman,img114.png,,,,,,,,,,,,,,
